episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/alpha_loss,info/learner/default_policy/alpha_value,info/learner/default_policy/target_entropy,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
75.0,-25.0,38.333333333333336,25.0,60,1,1500,False,60,1,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-19,1607993779,17.823374271392822,17.823374271392822,21776,Michael-PC,192.168.1.221,17.823374271392822,0,1,"[-25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7383127676336708,0.4247745460545833,3.097756237764505,0.10725373351359509,156.521,204.446,5.004,1500,32,1500,1,64.12692307692308,82.68846153846154,4.6119,-2.1971755,152.23758,0.0,1.0,0.769028615951538,0.5500305,2.433774,-0.46677893
75.0,-25.0,39.0625,25.0,4,1,1600,False,64,2,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-25,1607993785,5.554001092910767,23.37737536430359,21776,Michael-PC,192.168.1.221,23.37737536430359,0,2,"[-25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7382797931653633,0.42436552865313104,3.0967895876369207,0.10718646443795322,32.3,990.707,3.499,1600,3232,1599,4,62.92857142857143,82.92857142857143,1.0478778,-4.9108825,0.89826393,-0.091980815,1.2968845,0.9590794916844734,2.421874,4.8561344,-0.14857243
175.0,-25.0,41.1764705882353,25.0,4,1,1700,False,68,3,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-31,1607993791,5.567034959793091,28.94441032409668,21776,Michael-PC,192.168.1.221,28.94441032409668,0,3,"[-25.0, 75.0, 75.0, 175.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7378771736966225,0.42404542282185664,3.0948577787786924,0.10727864256056904,39.253,815.223,4.798,1700,6432,1698,7,60.75,82.6875,8.004139,-12.239563,307.14246,-0.19552386,1.6980621,0.9191794328727165,8.67859,12.489836,4.5765696
175.0,-25.0,43.05555555555556,25.0,4,1,1800,False,72,4,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-36,1607993796,5.637251615524292,34.58166193962097,21776,Michael-PC,192.168.1.221,34.58166193962097,0,4,"[75.0, 75.0, -25.0, 175.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7373679986946678,0.4238360522199135,3.0923842384280795,0.10736443595776263,32.452,986.062,4.1,1800,9632,1797,10,66.125,82.8125,1.6451931,-16.16148,1.4977772,0.015567099,1.9394679,0.7723935795318978,13.289543,15.749263,11.3695755
175.0,-25.0,40.78947368421053,25.0,4,1,1900,False,76,5,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-42,1607993802,5.4041736125946045,39.985835552215576,21776,Michael-PC,192.168.1.221,39.985835552215576,0,5,"[75.0, -25.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7365758667866014,0.4236557450213411,3.089699621047869,0.10730598761468266,34.3,932.94,4.2,1900,12832,1896,13,59.3625,82.83749999999999,4.3095975,-19.420912,142.76721,0.22292002,1.8330781,0.623816455040035,17.075693,20.862638,15.814316
175.0,-25.0,40.0,25.0,4,1,2000,False,80,6,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-47,1607993807,5.534122467041016,45.51995801925659,21776,Michael-PC,192.168.1.221,45.51995801925659,0,6,"[75.0, -25.0, 75.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0, 75.0, -25.0, -25.0, -25.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7356705217877982,0.42349299298734566,3.0866301153003493,0.10726273066770298,35.057,912.8,4.1,2000,16032,1995,16,63.787499999999994,82.8875,3.1638484,-22.591661,11.112461,0.014847823,1.6586328,0.5793845530505468,19.811178,23.775578,17.112036
175.0,-25.0,39.285714285714285,25.0,4,1,2100,False,84,7,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-53,1607993813,5.632748365402222,51.15270638465881,21776,Michael-PC,192.168.1.221,51.15270638465881,0,7,"[75.0, -25.0, 75.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, -25.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7347485467430849,0.4232672418497147,3.083612633179553,0.10723155029278934,38.752,825.76,4.999,2100,19232,2094,19,65.2,82.9375,4.625312,-19.491055,124.02096,0.17056727,1.7028124,0.6703432004941723,17.466988,27.641485,13.333851
175.0,-25.0,38.63636363636363,25.0,4,1,2200,False,88,8,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-56-58,1607993818,5.410906553268433,56.563612937927246,21776,Michael-PC,192.168.1.221,56.563612937927246,0,8,"[75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7336673171097523,0.4231233665637625,3.0805039991149736,0.10710143709568731,33.5,955.234,3.7,2200,22432,2193,22,61.49999999999999,82.98571428571428,9.529863,-22.587482,136.14482,-0.21764843,1.8361884,0.8312798516289821,19.111374,35.861694,14.00972
275.0,-25.0,40.21739130434783,25.0,4,1,2300,False,92,9,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-57-04,1607993824,5.648030996322632,62.21164393424988,21776,Michael-PC,192.168.1.221,62.21164393424988,0,9,"[-25.0, -25.0, 75.0, 275.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7327157832209735,0.42293521859169103,3.077448296109048,0.10686101836556855,32.5,984.613,3.999,2300,25632,2292,25,67.775,83.13749999999999,2.3584135,-22.661552,10.60297,-0.2598731,2.3130116,0.9471632299706161,19.756517,29.190039,13.674638
275.0,-25.0,39.583333333333336,25.0,4,1,2400,False,96,10,a6d7641a6a264dbd81f4b133194fd6f3,2020-12-14_16-57-10,1607993830,5.693002462387085,67.90464639663696,21776,Michael-PC,192.168.1.221,67.90464639663696,0,10,"[-25.0, 75.0, 75.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, -25.0, 75.0, 75.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 75.0, -25.0, 75.0, 75.0, 175.0, 75.0, 75.0, -25.0, 175.0, 75.0, -25.0, -25.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, -25.0, 75.0, 75.0, -25.0, -25.0, -25.0, -25.0, 75.0, 275.0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]",0.7317881841378222,0.42274343268796116,3.07438675549994,0.10658584466519705,40.001,799.987,4.799,2400,28832,2391,28,62.625,83.23750000000001,9.575081,-28.968603,235.75122,-0.07431006,2.7449296,0.9355632051485361,24.213882,56.97581,17.283485
